t,value
1540099427,0.75
t,value
1540099472,0.602803738317757
1540099475,0.602803738317757
1540099478,0.602803738317757
1540099481,0.602803738317757
1540099484,0.602803738317757
1540099487,0.602803738317757
1540099490,0.602803738317757
1540099493,0.602803738317757
1540099496,0.602803738317757
1540099499,0.602803738317757
1540099502,0.602803738317757
1540099505,0.6027397260273972
1540099508,0.6027397260273972
1540099511,0.6027397260273972
1540099514,0.6027397260273972
1540099517,0.6027397260273972
1540099520,0.6027397260273972
1540099523,0.6027397260273972
1540099526,0.6027397260273972
1540099529,0.6027397260273972
t,value
1540099543,0.6533864541832669
1540099546,0.6533864541832669
1540099549,0.66015625
1540099552,0.66015625
1540099555,0.66015625
1540099558,0.66015625
1540099561,0.66015625
1540099564,0.66015625
1540099567,0.66015625
1540099570,0.66015625
1540099573,0.66015625
1540099576,0.66015625
1540099579,0.66015625
1540099582,0.66015625
1540099585,0.6691449814126395
1540099588,0.6691449814126395
1540099591,0.6691449814126395
1540099594,0.6691449814126395
1540099597,0.6691449814126395
1540099600,0.6691449814126395
1540099603,0.7174603174603175
1540099606,0.7174603174603175
1540099609,0.7174603174603175
1540099612,0.7286585365853658
1540099615,0.7286585365853658
1540099618,0.7335329341317365
1540099621,0.7335329341317365
1540099624,0.7382352941176471
1540099627,0.7382352941176471
1540099630,0.7382352941176471
1540099633,0.7382352941176471
1540099636,0.7382352941176471
1540099639,0.7382352941176471
1540099642,0.7382352941176471
1540099645,0.7382352941176471
1540099648,0.7382352941176471
1540099651,0.7382352941176471
1540099654,0.7382352941176471
1540099657,0.7382352941176471
1540099660,0.7382352941176471
1540099663,0.7694300518134715
1540099666,0.7694300518134715
1540099669,0.7694300518134715
1540099672,0.7694300518134715
1540099675,0.7694300518134715
1540099678,0.7694300518134715
1540099681,0.7694300518134715
1540099684,0.7694300518134715
1540099687,0.7694300518134715
1540099690,0.7694300518134715
1540099693,0.7694300518134715
1540099696,0.7694300518134715
1540099699,0.7694300518134715
1540099702,0.7694300518134715
1540099705,0.7694300518134715
1540099708,0.7694300518134715
1540099711,0.7694300518134715
1540099714,0.7694300518134715
1540099717,0.7694300518134715
1540099720,0.7694300518134715
1540099723,0.7939814814814815
1540099726,0.7939814814814815
1540099729,0.7939814814814815
1540099732,0.7939814814814815
1540099735,0.7939814814814815
1540099738,0.7939814814814815
1540099741,0.7995495495495496
1540099744,0.7995495495495496
1540099747,0.7995495495495496
1540099750,0.7995495495495496
1540099753,0.7995495495495496
1540099756,0.7995495495495496
1540099759,0.7995495495495496
1540099762,0.7995495495495496
1540099765,0.7995495495495496
1540099768,0.7995495495495496
1540099771,0.7995495495495496
1540099774,0.7995495495495496
1540099777,0.7995495495495496
1540099780,0.7995495495495496
1540099783,0.8183673469387756
1540099786,0.8183673469387756
1540099789,0.8183673469387756
1540099792,0.8183673469387756
1540099795,0.8183673469387756
1540099798,0.8183673469387756
1540099801,0.8183673469387756
1540099804,0.8183673469387756
1540099807,0.8183673469387756
1540099810,0.8183673469387756
1540099813,0.8183673469387756
1540099816,0.8183673469387756
1540099819,0.8183673469387756
1540099822,0.8183673469387756
1540099825,0.8183673469387756
1540099828,0.8183673469387756
1540099831,0.8183673469387756
1540099834,0.8183673469387756
1540099837,0.8183673469387756
1540099840,0.8183673469387756
1540099843,0.8339552238805971
1540099846,0.8339552238805971
1540099849,0.8339552238805971
1540099852,0.8339552238805971
1540099855,0.8339552238805971
1540099858,0.8339552238805971
1540099861,0.8339552238805971
1540099864,0.8339552238805971
1540099867,0.8339552238805971
1540099870,0.8339552238805971
1540099873,0.8339552238805971
1540099876,0.8339552238805971
1540099879,0.8339552238805971
1540099882,0.8339552238805971
1540099885,0.8339552238805971
1540099888,0.8339552238805971
1540099891,0.8339552238805971
1540099894,0.8339552238805971
1540099897,0.8339552238805971
1540099900,0.8339552238805971
1540099903,0.8470790378006873
1540099906,0.8470790378006873
1540099909,0.8470790378006873
1540099912,0.8470790378006873
1540099915,0.8470790378006873
1540099918,0.8470790378006873
1540099921,0.8470790378006873
1540099924,0.8470790378006873
1540099927,0.8470790378006873
1540099930,0.8470790378006873
1540099933,0.8470790378006873
1540099936,0.8470790378006873
1540099939,0.8470790378006873
1540099942,0.8470790378006873
t,value
1540099969,0.65234375
1540099972,0.65234375
1540099975,0.65234375
1540099978,0.65234375
1540099981,0.65234375
1540099984,0.65234375
1540099987,0.65234375
1540099990,0.65234375
1540099993,0.65234375
1540099996,0.65234375
1540099999,0.65234375
